tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,fare_amount,pickup_zip,dropoff_zip
2016-01-01 00:04:30,2016-01-01 00:07:42,0.77,5.0,11217,11231
2016-01-01 00:11:29,2016-01-01 00:30:42,7.75,24.5,10002,10025
2016-01-01 00:12:48,2016-01-01 00:16:23,0.9,5.0,10035,10029
2016-01-01 00:13:37,2016-01-01 00:25:38,2.0,10.0,10022,10001
2016-01-01 00:15:46,2016-01-01 00:23:57,2.0,8.5,10007,10014
2016-01-01 00:15:57,2016-01-01 00:27:00,2.6,11.0,10025,10028
2016-01-01 00:20:57,2016-01-01 00:25:32,1.2,5.5,10003,10016
2016-01-01 00:22:30,2016-01-01 00:25:19,0.64,4.0,11212,11212
2016-01-01 00:23:34,2016-01-01 00:37:18,3.2,13.0,10103,10162
2016-01-01 00:24:29,2016-01-01 00:37:09,1.76,10.0,10022,10001
2016-01-01 00:25:41,2016-01-01 00:41:00,1.57,10.5,10001,10110
2016-01-01 00:29:22,2016-01-01 00:32:34,0.5,4.5,10001,10017
2016-01-01 00:31:05,2016-01-01 00:31:08,2.9,13.5,10002,10002
2016-01-01 00:35:19,2016-01-01 00:59:47,5.6,21.0,10028,10199
2016-01-01 00:36:25,2016-01-01 00:43:54,1.65,8.0,10044,10022
2016-01-01 00:36:40,2016-01-01 00:57:00,3.4,15.5,10022,10012
2016-01-01 00:38:22,2016-01-01 00:53:41,1.86,11.5,10021,10110
2016-01-01 00:39:18,2016-01-01 00:43:03,0.68,4.5,10282,10006
2016-01-01 00:41:32,2016-01-01 00:57:23,5.58,19.0,10019,10030
2016-01-01 00:41:52,2016-01-01 01:04:39,8.8,27.0,10028,11375
2016-01-01 00:42:47,2016-01-01 01:03:58,2.6,15.0,10018,10014
2016-01-01 00:43:07,2016-01-01 01:09:33,4.51,19.0,10019,10009
2016-01-01 00:44:52,2016-01-01 00:51:29,1.2,6.5,10009,10167
2016-01-01 00:50:06,2016-01-01 00:57:22,1.14,7.0,10002,10012
2016-01-01 00:51:08,2016-01-01 00:59:13,2.2,8.5,10154,10028
2016-01-01 00:51:30,2016-01-01 01:10:32,4.76,18.0,10026,10452
2016-01-01 00:53:50,2016-01-01 01:12:53,4.9,18.5,10271,10001
2016-01-01 00:57:13,2016-01-01 01:01:29,0.7,5.0,11237,11237
2016-01-01 00:57:45,2016-01-01 01:20:56,7.4,23.5,11109,11238
2016-01-01 00:57:49,2016-01-01 01:00:47,0.73,4.5,10023,10162
2016-01-01 00:58:10,2016-01-01 01:03:41,1.08,6.0,10003,10016
2016-01-01 00:58:27,2016-01-01 01:10:25,2.1,10.0,10023,10044
2016-01-01 01:02:51,2016-01-01 01:09:08,0.88,6.0,10001,10110
2016-01-01 01:03:41,2016-01-01 01:13:28,1.53,8.0,10012,10009
2016-01-01 01:05:48,2016-01-01 01:20:20,5.0,17.0,10171,10005
2016-01-01 01:08:49,2016-01-01 01:17:41,0.8,7.0,10111,10110
2016-01-01 01:14:12,2016-01-01 01:30:05,3.55,14.0,10001,10018
2016-01-01 01:16:13,2016-01-01 01:40:05,3.1,16.5,10019,10021
2016-01-01 01:27:34,2016-01-01 01:40:56,1.8,10.0,10001,10017
2016-01-01 01:31:13,2016-01-01 01:35:45,0.8,5.0,10028,10028
2016-01-01 01:31:24,2016-01-01 01:55:11,3.93,17.5,10199,10044
2016-01-01 01:37:03,2016-01-01 01:58:51,7.7,25.5,10023,10006
2016-01-01 01:41:50,2016-01-01 02:21:51,6.8,29.0,11222,10018
2016-01-01 01:42:26,2016-01-01 01:47:59,0.9,6.0,10103,10171
2016-01-01 01:47:30,2016-01-01 02:03:00,3.3,13.0,10282,10001
2016-01-01 01:52:10,2016-01-01 01:58:58,0.89,6.5,10003,10016
2016-01-01 01:54:15,2016-01-01 02:09:27,1.31,10.5,10199,10014
2016-01-01 01:55:33,2016-01-01 02:00:42,0.8,5.5,10110,10009
2016-01-01 01:57:16,2016-01-01 02:20:05,4.96,19.5,10023,10016
2016-01-01 01:57:51,2016-01-01 02:03:23,1.31,6.5,10028,10021
2016-01-01 02:07:43,2016-01-01 02:14:12,2.0,8.0,10017,10021
2016-01-01 02:10:59,2016-01-01 02:24:45,1.9,10.5,10110,10014
2016-01-01 02:11:48,2016-01-01 02:31:52,3.01,14.5,10002,10199
2016-01-01 02:13:01,2016-01-01 02:19:59,1.1,6.5,10162,10025
2016-01-01 02:14:46,2016-01-01 02:36:23,8.8,27.0,10011,11226
2016-01-01 02:22:59,2016-01-01 02:38:26,1.75,11.0,10018,10001
2016-01-01 02:25:48,2016-01-01 02:44:26,3.9,15.5,10003,10044
2016-01-01 02:27:16,2016-01-01 02:28:43,0.2,3.0,11103,11103
2016-01-01 02:32:16,2016-01-01 02:57:17,4.87,20.0,10017,11211
2016-01-01 02:34:20,2016-01-01 02:38:56,0.6,5.0,10001,10017
2016-01-01 02:34:26,2016-01-01 03:02:42,5.34,21.5,10028,10012
2016-01-01 02:36:16,2016-01-01 02:50:24,4.2,15.0,10044,11104
2016-01-01 02:36:51,2016-01-01 02:56:10,4.2,16.0,10026,10459
2016-01-01 02:42:11,2016-01-01 02:53:16,2.7,11.0,10103,10023
2016-01-01 02:44:08,2016-01-02 01:22:54,1.46,8.0,10007,10002
2016-01-01 02:44:21,2016-01-01 03:02:41,5.69,18.5,10044,10031
2016-01-01 02:46:26,2016-01-01 03:00:23,1.78,9.0,10162,10026
2016-01-01 02:51:52,2016-01-01 03:09:19,3.7,14.5,10278,10018
2016-01-01 02:52:37,2016-01-01 03:10:28,3.2,14.0,11216,11206
2016-01-01 02:54:47,2016-01-01 03:14:32,3.95,17.0,10019,10044
2016-01-01 02:55:15,2016-01-01 03:10:28,6.04,19.5,10278,10022
2016-01-01 02:56:14,2016-01-01 03:07:19,2.0,9.5,10001,10012
2016-01-01 02:56:25,2016-01-01 03:05:44,2.17,9.5,11201,11206
2016-01-01 03:01:53,2016-01-01 03:09:37,1.57,7.5,10119,10003
2016-01-01 03:04:26,2016-01-01 03:09:29,0.64,5.5,10011,10011
2016-01-01 03:05:46,2016-01-01 03:10:33,1.44,6.5,10018,10023
2016-01-01 03:07:04,2016-01-01 03:32:04,7.48,26.0,10028,10013
2016-01-01 03:10:22,2016-01-01 03:26:48,3.91,15.0,10018,10021
2016-01-01 03:11:28,2016-01-01 03:23:58,2.08,10.5,10162,10026
2016-01-01 03:13:42,2016-01-01 03:20:45,1.33,7.0,10001,10110
2016-01-01 03:14:37,2016-01-01 03:35:14,5.31,19.0,10003,11238
2016-01-01 03:16:54,2016-01-01 03:33:01,4.6,15.5,10002,10019
2016-01-01 03:16:55,2016-01-01 03:26:26,2.0,9.5,10020,10021
2016-01-01 03:18:35,2016-01-01 03:33:15,2.3,11.5,10002,10017
2016-01-01 03:21:30,2016-01-01 03:32:01,1.63,8.5,10103,10017
2016-01-01 03:23:17,2016-01-01 04:05:46,8.9,34.0,10018,11215
2016-01-01 03:24:49,2016-01-01 03:27:49,0.42,4.0,10007,10278
2016-01-01 03:30:22,2016-01-01 03:38:51,1.2,7.5,10009,10003
2016-01-01 03:37:49,2016-01-01 03:49:51,4.16,13.5,10003,10044
2016-01-01 03:38:31,2016-01-01 03:56:08,4.5,16.5,11231,11220
2016-01-01 03:39:19,2016-01-01 03:54:40,3.5,14.0,10007,10009
2016-01-01 03:39:35,2016-01-01 03:50:16,2.04,9.5,10007,10009
2016-01-01 03:41:50,2016-01-01 03:54:47,2.0,10.0,10003,10011
2016-01-01 03:49:23,2016-01-01 03:55:50,1.2,7.0,10026,10030
2016-01-01 03:51:05,2016-01-01 03:55:27,1.27,6.0,10003,10017
2016-01-01 03:57:52,2016-01-01 04:05:20,1.3,7.0,10003,10014
2016-01-01 04:09:14,2016-01-01 04:12:00,0.39,4.0,10032,10031
2016-01-01 04:10:34,2016-01-01 04:16:46,1.48,7.0,10018,10001
2016-01-01 04:11:12,2016-01-01 04:20:46,2.8,10.5,10002,10017
2016-01-01 04:15:48,2016-01-01 04:17:38,0.5,4.0,10065,10021
2016-01-01 04:17:52,2016-01-01 04:38:13,9.36,28.0,10470,10039
